"","GEOID20","id"
"1","42001000170",7
"2","42001000190",7
"3","42001000200",7
"4","42001000260",7
"5","42001000230",7
"6","42001000270",7
"7","42001000310",7
"8","42001000320",7
"9","42001000330",7
"10","42001000370",7
"11","42001000380",7
"12","42001000390",7
"13","42001000425",7
"14","42001000450",7
"15","42001000440",7
"16","42001000460",7
"17","42001000480",7
"18","42001000240",7
"19","42001000280",7
"20","42001000340",7
"21","42001000360",7
"22","42001000350",7
"23","42001000385",7
"24","42001000400",7
"25","42001000410",7
"26","42001000427",7
"27","42001000290",7
"28","42001000010",7
"29","42001000040",7
"30","42001000020",7
"31","42001000030",7
"32","42001000050",7
"33","42001000070",7
"34","42001000490",7
"35","42001000082",7
"36","42001000078",7
"37","42001000060",7
"38","42001000090",7
"39","42001000100",7
"40","42001000130",7
"41","42001000110",7
"42","42001000120",7
"43","42001000140",7
"44","42001000150",7
"45","42001000160",7
"46","42001000180",7
"47","42079000025",10
"48","42079000010",10
"49","42079000060",10
"50","42079000050",10
"51","42079000070",10
"52","42079000083",9
"53","42079000080",9
"54","42079000088",9
"55","42079000095",9
"56","42079000120",9
"57","42079000180",9
"58","42051000536",4
"59","42051001072",4
"60","42035000010",6
"61","42035000020",6
"62","42035000030",6
"63","42035000370",6
"64","42035000040",6
"65","42035000050",6
"66","42035000060",6
"67","42035000070",6
"68","42035000080",6
"69","42035000090",6
"70","42035000100",6
"71","42035000110",6
"72","42035000120",6
"73","42035000130",6
"74","42035000140",6
"75","42035000150",6
"76","42035000160",6
"77","42035000170",6
"78","42035000180",6
"79","42035000210",6
"80","42035000190",6
"81","42035000220",6
"82","42035000200",6
"83","42035000230",6
"84","42035000250",6
"85","42035000265",6
"86","42035000240",6
"87","42035000280",6
"88","42035000290",6
"89","42035000300",6
"90","42035000315",6
"91","42035000340",6
"92","42035000350",6
"93","42035000360",6
"94","42089000162",10
"95","42089000164",10
"96","42115000010",10
"97","42115000020",10
"98","42115000430",10
"99","42115000030",10
"100","42115000360",10
"101","42115000040",10
"102","42115000050",10
"103","42115000060",10
"104","42067000010",6
"105","42067000020",6
"106","42067000030",6
"107","42067000200",6
"108","42067000040",6
"109","42067000050",6
"110","42067000071",6
"111","42067000090",6
"112","42067000100",6
"113","42067000110",6
"114","42067000120",6
"115","42067000130",6
"116","42067000140",6
"117","42067000150",6
"118","42067000160",6
"119","42067000170",6
"120","42067000180",6
"121","42067000190",6
"122","42025000015",11
"123","42025000040",11
"124","42025000050",11
"125","42025000062",11
"126","42025000070",11
"127","42025000058",11
"128","42025000100",11
"129","42025000090",11
"130","42025000460",11
"131","42025000080",11
"132","42025000130",11
"133","42025000120",11
"134","42025000110",11
"135","42025000140",11
"136","42025000150",11
"137","42025000160",11
"138","42025000180",11
"139","42025000200",11
"140","42025000190",11
"141","42025000210",11
"142","42025000220",11
"143","42025000170",11
"144","42025000240",11
"145","42025000250",11
"146","42025000230",11
"147","42025000258",11
"148","42025000262",11
"149","42025000280",11
"150","42025000270",11
"151","42025000290",11
"152","42025000310",11
"153","42025000300",11
"154","42025000320",11
"155","42025000340",11
"156","42025000350",11
"157","42025000330",11
"158","42025000360",11
"159","42025000376",11
"160","42025000390",11
"161","42025000400",11
"162","42025000380",11
"163","42025000420",11
"164","42025000410",11
"165","42025000428",11
"166","42025000432",11
"167","42025000371",11
"168","42025000363",11
