"","GEOID20","GMS_dist"
"1","42001000170","10"
"2","42001000190","10"
"3","42001000200","10"
"4","42001000260","10"
"5","42001000230","10"
"6","42001000270","10"
"7","42001000310","10"
"8","42001000320","10"
"9","42001000330","10"
"10","42001000370","10"
"11","42001000380","10"
"12","42001000390","10"
"13","42001000425","10"
"14","42001000450","10"
"15","42001000440","10"
"16","42001000460","10"
"17","42001000480","10"
"18","42001000240","10"
"19","42001000280","10"
"20","42001000340","10"
"21","42001000360","10"
"22","42001000350","10"
"23","42001000385","10"
"24","42001000400","10"
"25","42001000410","10"
"26","42001000427","10"
"27","42001000290","10"
"28","42001000010","10"
"29","42001000040","10"
"30","42001000020","10"
"31","42001000030","10"
"32","42001000050","10"
"33","42001000070","10"
"34","42001000490","10"
"35","42001000082","10"
"36","42001000078","10"
"37","42001000060","10"
"38","42001000090","10"
"39","42001000100","10"
"40","42001000130","10"
"41","42001000110","10"
"42","42001000120","10"
"43","42001000140","10"
"44","42001000150","10"
"45","42001000160","10"
"46","42001000180","10"
"47","42079000025","8"
"48","42079000010","8"
"49","42079000060","8"
"50","42079000050","8"
"51","42079000070","8"
"52","42079000083","8"
"53","42079000080","8"
"54","42079000088","8"
"55","42079000095","8"
"56","42079000120","8"
"57","42079000180","8"
"58","42051000536","13"
"59","42051001072","13"
"60","42035000010","15"
"61","42035000020","15"
"62","42035000030","15"
"63","42035000370","15"
"64","42035000040","15"
"65","42035000050","15"
"66","42035000060","15"
"67","42035000070","15"
"68","42035000080","15"
"69","42035000090","15"
"70","42035000100","15"
"71","42035000110","15"
"72","42035000120","15"
"73","42035000130","15"
"74","42035000140","15"
"75","42035000150","15"
"76","42035000160","15"
"77","42035000170","15"
"78","42035000180","15"
"79","42035000210","15"
"80","42035000190","15"
"81","42035000220","15"
"82","42035000200","15"
"83","42035000230","15"
"84","42035000250","15"
"85","42035000265","15"
"86","42035000240","15"
"87","42035000280","15"
"88","42035000290","15"
"89","42035000300","15"
"90","42035000315","15"
"91","42035000340","15"
"92","42035000350","15"
"93","42035000360","15"
"94","42089000162","8"
"95","42089000164","8"
"96","42115000010","9"
"97","42115000020","9"
"98","42115000430","9"
"99","42115000030","9"
"100","42115000360","9"
"101","42115000040","9"
"102","42115000050","9"
"103","42115000060","9"
"104","42067000010","12"
"105","42067000020","12"
"106","42067000030","12"
"107","42067000200","12"
"108","42067000040","12"
"109","42067000050","12"
"110","42067000071","12"
"111","42067000090","12"
"112","42067000100","12"
"113","42067000110","12"
"114","42067000120","12"
"115","42067000130","12"
"116","42067000140","12"
"117","42067000150","12"
"118","42067000160","12"
"119","42067000170","12"
"120","42067000180","12"
"121","42067000190","12"
"122","42025000015","7"
"123","42025000040","7"
"124","42025000050","7"
"125","42025000062","7"
"126","42025000070","7"
"127","42025000058","7"
"128","42025000100","7"
"129","42025000090","7"
"130","42025000460","7"
"131","42025000080","7"
"132","42025000130","7"
"133","42025000120","7"
"134","42025000110","7"
"135","42025000140","7"
"136","42025000150","7"
"137","42025000160","7"
"138","42025000180","7"
"139","42025000200","7"
"140","42025000190","7"
"141","42025000210","7"
"142","42025000220","7"
"143","42025000170","7"
"144","42025000240","7"
"145","42025000250","7"
"146","42025000230","7"
"147","42025000258","7"
"148","42025000262","7"
"149","42025000280","7"
"150","42025000270","7"
"151","42025000290","7"
"152","42025000310","7"
"153","42025000300","7"
"154","42025000320","7"
"155","42025000340","7"
"156","42025000350","7"
"157","42025000330","7"
"158","42025000360","7"
"159","42025000376","7"
"160","42025000390","7"
"161","42025000400","7"
"162","42025000380","7"
"163","42025000420","7"
"164","42025000410","7"
"165","42025000428","7"
"166","42025000432","7"
"167","42025000371","7"
"168","42025000363","7"
"169","42025000379","7"
"170","42025000367","7"
"171","42025000450","7"
"172","42025000440","7"
"173","42081000742","9"
"174","42081000075","9"
"175","42081000712","9"
"176","42081000732","9"
"177","42081000772","9"
"178","42081000692","9"
"179","42081000802","9"
"180","42081000722","9"
"181","42081000682","9"
"182","42081000792","9"
"183","42081000782","9"
"184","42081000752","9"
"185","42081000762","9"
"186","42081000702","9"
"187","42031000010","15"
"188","42031000020","15"
"189","42031000500","15"
"190","42091003384","4"
"191","42091003382","4"
"192","42015000010","9"
"193","42015000020","9"
"194","42015000030","9"
"195","42015000040","9"
"196","42015000610","9"
"197","42015000100","9"
"198","42015000080","9"
"199","42015000090","9"
"200","42015000050","9"
"201","42015000110","9"
"202","42015000070","9"
"203","42015000120","9"
"204","42015000060","9"
"205","42015000140","9"
"206","42015000130","9"
"207","42015000150","9"
"208","42015000160","9"
"209","42015000170","9"
